FY,Total_MWh_Dispatched,Total_Revenue,VWAP,State,Fuel_Type,% of total MWh dispatched in FY,% of total revenue in FY
2021,5226231.416666667,369712861.34028333,70.74177009484383,SA,Gas,2.8272741918419086,3.255871866259061
2022,4078273.7241666666,704166932.4855083,172.66298932139335,SA,Gas,2.1997878341397286,2.734222793982841
2023,3624112.8325,900818252.1779166,248.56241894557974,SA,Gas,1.9612104369179615,3.4310653285978674
2024,3343095.3475,581209184.3887334,173.85360690456147,SA,Gas,1.8071208013318845,3.2556516541809852
2025,99.85833333333333,20419.032,204.48,SA,Gas,5.305473142564169,9.441436137098565
2020,3143.3358333333335,2461397.9558833335,783.0528096239584,SA,Liquid,0.001670835772488874,0.01861960050201371
2021,702.1583333333333,1339032.0562583334,1907.022950082484,SA,Liquid,0.00037985193845209295,0.011792169696736217
2022,14407.590833333334,9185028.669175,637.5131536859419,SA,Liquid,0.0077713378694084225,0.03566471754360747
2023,11678.003333333334,8800698.5434,753.6132926319311,SA,Liquid,0.006319621677975469,0.03352038168265008
2024,1845.9925,2164015.874925,1172.2777177724179,SA,Liquid,0.0009978571051966231,0.012121766228252433
2025,-0.008333333333333333,-1.704,204.48,SA,Liquid,-0.00044274999103431265,-0.0007879025400232467
2020,483288.49333333335,26936570.675425,55.73600664406121,SA,Solar,0.256891323711116,0.20376558112915072
2021,672812.82,14669114.769875,21.802668340765265,SA,Solar,0.36397667272446016,0.1291833827717514
2022,698108.4391666667,39459074.50834167,56.52284415218363,SA,Solar,0.37655404106130785,0.15321636954657114
2023,804445.4425,42259535.77308334,52.53250691774954,SA,Solar,0.4353304851918095,0.16095946950798476
2024,950662.93,31402176.715891667,33.031872522779096,SA,Solar,0.5138838642884734,0.1758997471409506
2025,0.0,0.0,,SA,Solar,0.0,0.0
2020,5797305.444166667,262110318.9887,45.2124390396644,SA,Wind,3.081549612815737,1.9827713821569024
2021,5738541.5008333335,172948632.06443334,30.138081608248065,SA,Wind,3.10442247780675,1.5230700479427004
2022,6131414.871666667,486330758.71566665,79.31786853357555,SA,Wind,3.307235549401914,1.8883826896013904
2023,6651477.260833333,541191556.043225,81.36411428931528,SA,Wind,3.5994868890078435,2.06130768285443
2024,5976509.2275,328074363.51958334,54.893977576408474,SA,Wind,3.2306210328232945,1.8377132932099798
2025,21.873333333333335,4472.6592,204.48,SA,Wind,1.162130176466864,2.068086587053018
2020,97276.455,8031487.087425,82.5635256488839,TAS,Gas,0.05170716380710328,0.06075534459898742
2021,84895.18416666667,5342133.565258333,62.926226236468594,TAS,Gas,0.04592639400556252,0.04704543498397272
2022,43775.775,12171204.9764,278.0351684556127,TAS,Gas,0.023612298680298852,0.04725979670650771
2023,79170.795,12444047.395633334,157.1797705913315,TAS,Gas,0.04284375145847294,0.047397285149761104
2024,230964.33833333335,36027118.49894167,155.98563292895224,TAS,Gas,0.1248485061845882,0.20180642544355412
2025,17.355,4515.4239,260.18,TAS,Gas,0.9220711313280595,2.087860305218119
2020,9225086.0075,503978359.72438335,54.631291167870806,TAS,Hydro,4.903581584304433,3.812417125519444
2021,7783344.900833333,364249924.0966167,46.79863589979391,TAS,Hydro,4.210615338263338,3.2077625751342866
2022,9147248.795833332,912683168.688975,99.77679508451894,TAS,Hydro,4.93395195562433,3.543874340570854
2023,7901946.491666666,1020569503.4126333,129.15419061479577,TAS,Hydro,4.276185827452141,3.8871777188322727
2024,7186690.156666666,563791359.96935,78.44937623286211,TAS,Hydro,3.8847881752913214,3.1580854587279004
2025,46.9575,12217.40235,260.18,TAS,Hydro,2.4948519244792484,5.6491328310158355
2020,792278.0608333333,38277417.450175,48.31311043740638,TAS,Wind,0.4211342968067998,0.2895550552756079
2021,1310579.125,46189443.08493333,35.243536390779404,TAS,Wind,0.7089939654533254,0.4067667749323782
2022,1359148.99,92571010.73805,68.10953870336908,TAS,Wind,0.7331139632115369,0.3594456881532358
2023,1283456.5125,117610616.87704167,91.63584097442622,TAS,Wind,0.694550204141672,0.4479590737268115
2024,1343433.6583333334,69882042.76676667,52.01748693230038,TAS,Wind,0.7261973281734401,0.39144527347833935
2025,2.6950000000000003,701.1851000000001,260.18,TAS,Wind,0.14318534710049674,0.32421685523266097
